sample_names,mean,median,sd,quantile0.025,quantile0.975
1607021103,2,2,0.03162,2,2
1907109524,2,2,0,2,2
1808002100,2,2,0,2,2
2103118594,2,2,0,2,2
2208069499,2,2,0,2,2
1806081101,2,2,0,2,2
1809089295,2,2,0.32395,1,2
2101107181,2,2,0,2,2
1612072855,2,2,0,2,2
1909047034,2,2,0,2,2
2206113246,2,2,0,2,2
1808006112,2,2,0,2,2
1804030089,2,2,0,2,2
1710044568,2,2,0,2,2
1807075090,2,2,0,2,2
2209033449,2,2,0,2,2
1907081403,2,2,0,2,2
1710041127,2,2,0,2,2
2106043578,2,2,0,2,2
1810095188,2,2,0,2,2
1911100622,2,2,0,2,2
1705062779,2,2,0,2,2
1807065675,2,2,0.40317,1,2
1804077130,2,2,0,2,2
1810063113,2,2,0.34507,1,2
1701076197,2,2,0,2,2
1801009686,2,2,0,2,2
1809046434,2,2,0,2,2
1802081356,2,2,0,2,2
2206033591,2,2,0,2,2
1812006769,2,2,0,2,2
1809005791,2,2,0,2,2
1709013104,2,2,0.49413,1,2
2001078923,2,2,0,2,2
1605096755,2,2,0,2,2
1801066222,2,2,0,2,2
1805013507,2,2,0,2,2
1804063573,2,2,0,2,2
1811094688,2,2,0,2,2
2001007846,2,2,0,2,2
1808030010,2,2,0,2,2
1709031317,2,2,0,2,2
1709058367,2,2,0,2,2
1808019911,2,2,0,2,2
1811081403,2,2,0,2,2
1609091141,2,2,0.08341,2,2
1708061408,2,2,0,2,2
2210077965,2,2,0.3925,2,3
1808054206,2,2,0,2,2
1601059519,2,2,0,2,2
1610028770,2,2,0,2,2
2204085841,2,2,0,2,2
2011037675,2,2,0.03162,2,2
1609014139,2,2,0,2,2
1802007799,2,2,0.12934,2,2
2105099654,2,2,0,2,2
2001029334,2,2,0,2,2
2210099504,2,2,0,2,2
1708040653,2,2,0,2,2
1701020194,2,2,0,2,2
2209060336,2,2,0,2,2
2212002961,2,2,0,2,2
1610005480,2,2,0,2,2
1811114663,2,2,0,2,2
1708005495,2,2,0.06315,2,2
1906011085,2,2,0,2,2
1711089414,2,2,0,2,2
1810063462,2,2,0,2,2
1809023254,2,2,0,2,2
2011077630,2,2,0,2,2
1808064854,2,2,0.28489,2,3
1704013653,2,2,0,2,2
2209068750,2,2,0,2,2
2210011702,2,2,0,2,2
2302030770,2,2,0,2,2
1909008311,2,2,0,2,2
1802106001,2,2,0,2,2
2212047724,2,2,0,2,2
1707033476,2,2,0,2,2
1708022455,2,2,0,2,2
1912080726,2,2,0,2,2
1702077153,2,2,0,2,2
1708019715,2,2,0,2,2
1707029998,2,2,0,2,2
1607087890,2,2,0,2,2
1710054893,2,2,0,2,2
2002006413,2,2,0,2,2
1712095560,2,2,0.43552,1,2
1703027620,2,2,0,2,2
1708020068,2,2,0,2,2
1901052483,2,2,0,2,2
2206062049,2,2,0.39091,1,2
2302034688,2,2,0.34082,2,3
2101023620,2,2,0,2,2
